division_id,official_date,deposit_date,date_matches
H40S2V016,2009-03-03,2009-03-03,True
H40S2V017,2009-03-03,2009-03-03,True
H40S2V018,2009-03-03,2009-03-03,True
H40S2V019,2009-03-03,2009-03-03,True
H40S2V020,2009-03-03,2009-03-03,True
H40S2V021,2009-03-03,2009-03-03,True
H40S2V022,2009-03-03,2009-03-03,True
H40S2V023,2009-03-04,2009-03-04,True
H40S2V024,2009-03-04,2009-03-04,True
H40S2V025,2009-03-10,2009-03-10,True
H40S2V026,2009-03-10,2009-03-10,True
H40S2V027,2009-03-10,2009-03-10,True
H40S2V028,2009-03-12,2009-03-12,True
H40S2V029,2009-03-12,2009-03-12,True
H40S2V030,2009-03-23,2009-03-23,True
H40S2V031,2009-03-23,2009-03-23,True
